Genome;classified_CPBay_Spr15G08_DNA.bac.ar;classified_CPBay_Spr15L08_DNA.bac.ar;classified_CPBay_Spr31G08_DNA.bac.ar;classified_CPBay_Spr31L08_DNA.bac.ar;classified_CPBay_Sum06G08_DNA.bac.ar;classified_CPBay_Sum06L08_DNA.bac.ar;classified_CPBay_Sum15G08_DNA.bac.ar;classified_CPBay_Sum15L08_DNA.bac.ar;classified_CPBay_Sum20G08_DNA.bac.ar;classified_CPBay_Sum27G08_DNA.bac.ar;classified_CPBay_Sum27L08_DNA.bac.ar;classified_DEBay_Spr_20_G08.bac.ar;classified_DEBay_Spr_20_L08.bac.ar;classified_DEBay_Spr_30_G08.bac.ar;classified_DEBay_Spr_30_L08.bac.ar;classified_DEBay_Sum_019_D_G08.bac.ar;classified_DEBay_Sum_019_D_L08.bac.ar;classified_DEBay_Sum_019_N_G08.bac.ar;classified_DEBay_Sum_019_N_L08.bac.ar;classified_DEBay_Sum_22_D_G08.bac.ar;classified_DEBay_Sum_22_D_L08.bac.ar;classified_DEBay_Sum_22_N_G08.bac.ar;classified_DEBay_Sum_22_N_L08.bac.ar;classified_DEBay_Sum_29_D_G08.bac.ar;classified_DEBay_Sum_29_D_L08.bac.ar;classified_DEBay_Sum_29_N_G08.bac.ar;classified_DEBay_Sum_29_N_L08.bac.ar
Chitinophagales_MAG_9;0;0;0;0;4502.773;680.76324;0;0;0;0;0;0;0;0;0;828.49475;303.17422;915.11664;476.3436;0;0;0;0;0;0;0;0
Chromatiales_MAG_1;0;0;0;0;0;0;460.77618;360.91107;664.7309;0;212.64148;0;0;0;0;0;0;0;0;468.68045;246.30266;627.70465;316.8488;837.77527;438.23672;828.21313;395.52875
Chthoniobacterales_MAG_1;0;0;0;0;1821.7518;0;8032.754;226.94057;9148.501;20317.559;468.69833;0;0;0;0;658.37335;0;0;0;0;0;0;0;0;0;0;0
Chthoniobacterales_MAG_2;0;0;0;0;2874.4514;0;0;0;0;0;0;0;0;0;0;7101.988;0;3641.5356;3491.5361;0;0;0;0;0;0;0;0
Chthoniobacterales_MAG_3;0;0;0;0;4101.644;151.91554;0;0;0;0;0;0;0;0;0;9118.62;1018.75214;4649.835;4587.549;0;0;0;0;0;0;0;0
Cytophagales_MAG_1;16858.648;322.34186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cytophagales_MAG_2;10251.103;3629.0205;5992.711;3986.471;0;0;0;0;0;0;0;11514.43;14322.548;6696.369;5544.3447;0;0;0;0;0;0;0;0;0;0;0;0
Enterobacterales_MAG_1;1347.6857;38.654007;330.5592;0;0;0;0;0;0;0;0;6866.924;796.79395;4503.6772;498.96887;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_1;0;0;0;0;4570.904;644.48975;0;0;0;0;0;0;0;0;0;1631.7539;604.54865;1819.5554;834.9167;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_10;0;0;0;0;0;0;23165.482;21229.754;14817.286;5838.7695;15497.758;0;0;0;0;0;0;0;0;664.67865;291.76425;483.28088;342.3375;533.18146;556.0702;0;449.1847
Flavobacteriales_MAG_11;1088.5239;386.105;3966.2021;7125.6484;0;0;0;0;0;0;0;2813.416;4651.1455;8315.173;7839.925;0;0;0;0;274.7702;0;288.51608;107.45368;0;0;0;191.6373
Flavobacteriales_MAG_12;3613.4417;2094.4932;430.33545;725.5774;0;0;1850.735;1117.1556;681.2663;0;235.99255;362.04077;480.69943;0;0;0;0;0;0;2104.125;894.8273;2550.103;1210.7214;310.3632;356.3011;401.57108;274.99646
Flavobacteriales_MAG_13;0;0;0;0;0;0;592.87146;483.8809;1321.1213;2395.0132;1853.8104;0;0;0;0;0;0;0;0;16441.152;9329.255;18047.94;12048.764;1869.2216;3248.1921;2874.073;3037.397
Flavobacteriales_MAG_14;0;0;0;0;70.13382;0;3600.1646;2784.168;1379.7373;1223.4589;884.4755;0;0;0;0;0;0;0;0;1173.7283;1222.0671;1720.4646;1886.9747;569.57574;756.52374;709.27795;720.2403
Flavobacteriales_MAG_15;1064.4105;592.00134;1768.338;3176.7886;0;0;410.20682;252.94171;905.42053;1170.375;894.4885;707.4134;1204.2227;1473.8406;1520.8022;0;0;0;0;6768.5776;3936.016;5837.539;4507.697;1113.018;2284.5889;1594.8986;2148.2317
Flavobacteriales_MAG_16;0;61.460674;283.3329;343.3061;0;0;6951.849;3226.8464;3061.6592;5288.045;2289.8577;0;0;0;269.06125;0;0;0;0;12990.223;4003.0698;14896.232;4855.923;2437.4153;2190.3728;3380.4082;1866.9812
Flavobacteriales_MAG_17;28979.129;3199.226;659.7973;193.15471;0;0;0;0;0;0;0;0;0;1075.2632;574.4192;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_18;2085.496;800.9977;5543.552;2257.81;0;0;0;0;0;0;0;4147.943;8235.304;31817.916;30779.893;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_19;890.49115;273.4417;7767.2686;1298.5906;0;0;0;0;0;0;0;1939.8015;2966.9382;15213.426;9938.041;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_2;0;0;0;0;0;0;1673.7993;369.7134;1528.779;1084.8552;203.01656;0;0;0;0;0;0;0;0;4501.895;526.7989;5847.6855;504.0489;6456.3433;1003.1357;4898.839;477.93573
Flavobacteriales_MAG_20;516.52905;172.05753;492.57568;521.0773;0;0;0;0;0;0;0;3929.2876;10475.793;10134.568;13744.113;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_21;0;0;14600.036;33694.523;0;0;0;0;0;0;0;770.3785;971.1461;1902.5645;1510.8191;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_22;0;0;0;0;0;0;1825.9097;893.30865;724.5861;1786.8014;1145.6262;0;0;0;0;0;0;0;0;14359.222;12136.393;17006.186;14115.641;7577.5923;6567.9863;8506.272;6048.226
Flavobacteriales_MAG_23;1166.0879;835.13965;423.59906;404.4453;0;0;0;0;0;0;0;6481.0625;1755.2998;1923.1343;923.3082;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_24;0;0;0;0;0;0;2300.9082;2380.8618;1434.3441;3266.7412;2996.96;0;0;0;0;0;0;0;338.3117;8605.762;10163.513;11142.643;13483.202;2173.6404;3583.0215;3465.2537;3517.347
Flavobacteriales_MAG_25;0;0;1982.7634;1685.4075;0;0;0;0;0;0;0;7879.089;8285.54;26781.863;15233.026;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_26;326.12378;142.95378;7995.8877;7308.7705;0;0;0;0;0;0;0;1104.2526;1881.3917;3847.107;4192.4854;0;0;0;0;3842.401;1624.5608;4857.8843;2231.7122;791.15405;594.647;980.9771;459.87668
Flavobacteriales_MAG_27;0;0;0;0;0;0;10807.943;6483.2725;7347.996;5340.349;4050.199;0;0;0;0;0;0;0;0;348.5835;379.98145;475.54745;509.90097;748.4477;725.0192;667.82947;601.4012
Flavobacteriales_MAG_28;6575.1055;2338.58;3433.1296;3553.882;0;0;0;0;0;0;0;2187.272;4404.341;2611.2656;2529.5366;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_29;562.0541;250.83908;8346.465;8597.805;0;0;0;0;0;0;0;177.71045;309.35168;385.63028;421.2482;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_3;2491.3198;259.00598;2193.1936;224.56352;0;0;0;0;0;0;0;9167.969;1203.2802;17203.39;1093.0531;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_30;370.58212;0;626.287;0;0;0;0;0;0;0;0;9949.345;424.357;1963.4554;0;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_31;3069.588;57.869976;428.63852;0;0;0;0;0;0;0;0;8669.097;240.9146;8446.767;0;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_32;36200.195;306.28055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
